,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
16,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6137536,True,299800,2021,8/2021,2000,490,77.0,204,8.5,Koksmetal,False
90,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6014566,True,329800,2023,10/2022,5000,514,77.0,204,8.5,Blåmetal,False
115,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156058,True,289900,2023,7/2023,7000,531,77.0,174,10.4,Hvidmetal,False
156,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6142897,True,419800,2023,3/2023,50,479,77.0,299,6.2,Hvidmetal,True
219,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6069949,True,359900,2023,6/2023,37,496,77.0,299,6.2,Sølvmetal,True
242,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6122501,True,427500,2023,8/2023,6000,531,76.6,204,8.5,Sortmetal,False
261,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6132524,True,419800,2023,3/2023,2000,479,77.0,299,6.2,Sortmetal,True
345,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-5d/5615572,True,289800,2021,11/2021,7000,516,77.0,204,8.5,Koksmetal,False
536,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6134922,True,299900,2023,3/2023,8000,508,77.0,174,10.4,Blåmetal,False
562,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6105604,True,312700,2023,6/2023,6000,531,76.6,204,8.5,Sølvmetal,False
655,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-life-plus-5d/6135070,True,299900,2023,6/2023,6000,531,76.6,204,8.5,Sølvmetal,False
683,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6089709,True,369800,2023,2/2023,8000,506,76.6,299,6.2,Rødmetal,True
747,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6138064,True,419500,2023,12/2023,4000,496,76.6,299,6.2,Hvidmetal,True
753,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6135110,True,334900,2022,5/2022,7000,514,76.6,204,8.5,Blåmetal,False
783,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6157400,True,349900,2023,2/2024,500,479,77.0,299,6.2,Sortmetal,True
810,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6155780,True,319900,2023,4/2023,7500,531,76.6,204,8.5,Blåmetal,False
814,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6156071,True,289900,2023,7/2023,5000,531,77.0,174,10.4,Sølvmetal,False
836,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-5d/6131791,True,315000,2023,7/2023,2000,531,77.0,174,10.4,Blåmetal,False
