Link,Dealer_Private,Vehicle_type,Make,Model,Price_kr,Model_year,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_0-100km/h_secs.,Trailer_hitch,Color,Drive_type
https://www.bilbasen.dk/brugt/bil/nissan/leaf/39-n-connecta-5d/6127240,True,Halvkombi,Nissan,LEAF,199900,2024,3000,270.0,39.0,147,7.9,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqe350/amg-line-4matic-4d/6154612,True,Sedan,Mercedes,EQE350,569900,2023,1100,610.0,89.0,292,6.3,True,Sølv,AWD
https://www.bilbasen.dk/brugt/bil/volvo/xc40/recharge-twin-plus-5d/6139813,True,SUV,Volvo,XC40,455555,2024,1001,536.0,82.0,408,4.9,True,Grå,AWD
https://www.bilbasen.dk/brugt/bil/renault/scenic-e-tech/60-techno-5d/6089622,True,CUV,Renault,SCENIC-E-TECH,329990,2024,0,420.0,60.0,170,8.6,True,Rød,FWD
https://www.bilbasen.dk/brugt/bil/peugeot/e-2008/54-gt-first-edition-5d/5987436,True,CUV,Peugeot,E-2008,299900,2023,2000,403.0,54.0,156,8.5,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/maxus/euniq6/70-5d/5858899,True,SUV,Maxus,EUNIQ6,399770,2023,0,354.0,70.0,177,6.9,True,Sølv,RWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb300/amg-line-4matic-7prs-5d/5927230,True,SUV,Mercedes,EQB300,399800,2022,4400,415.0,76.0,228,8.0,False,Grå,AWD
https://www.bilbasen.dk/brugt/bil/kia/niro/64-ev-prestige-5d/5895159,True,CUV,Kia,NIRO,309900,2024,4000,460.0,64.8,204,7.8,True,Hvid,FWD
https://www.bilbasen.dk/brugt/bil/mercedes/evito-129/tourer-pro-l/5729890,True,MPV,Mercedes,EVITO-129,599000,2023,3000,359.0,90.0,204,3.56,False,Other,FWD
https://www.bilbasen.dk/brugt/bil/skoda/enyaq/85-iv-sportline-5d/6134888,True,CUV,Skoda,ENYAQ,425362,2024,10,550.0,76.6,286,6.7,True,Sort,RWD
https://www.bilbasen.dk/brugt/bil/kia/ev9/long-range-performance-gt-line-awd-5d/5903769,True,SUV,Kia,EV9,749900,2024,0,505.0,99.8,384,5.3,True,Other,AWD
https://www.bilbasen.dk/brugt/bil/vw/id5/pro-performance-5d/6120525,True,CUV,Vw,ID5,329800,2023,3000,534.0,76.6,204,8.4,True,Blå,RWD
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/style-5d/6001282,True,MPV,Vw,IDBUZZ,489900,2023,8000,409.0,77.0,204,10.2,True,Hvid,RWD
https://www.bilbasen.dk/brugt/bil/mini/cooper-se/essential-trim-3d/6020434,True,Mikro,Mini,COOPER-SE,184900,2021,5000,234.0,32.6,184,7.3,False,Grå,FWD
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/progressive-5d/6154112,True,SUV,Mercedes,EQB250,399900,2023,2000,503.0,70.5,190,9.2,False,Sort,FWD
https://www.bilbasen.dk/brugt/bil/vw/idbuzz/life-5d/6158192,True,MPV,Vw,IDBUZZ,399800,2024,0,417.0,82.0,204,10.2,True,Gul_Brun_Orange,RWD
https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6137536,True,CUV,Vw,ID4,299800,2021,2000,490.0,77.0,204,8.5,True,Grå,RWD
