Link,Brand,Model,Variant,Price,Modelår,1. registrering,Kilometertal,Drivmiddel,Rækkevidde,Batterikapacitet,Energiforbrug,Hjemmeopladning AC,Hurtig opladning DC,Opladningstid DC 10-80%,Periodisk afgift,Ydelse,Acceleration,Tophastighed,Trækvægt,Farve,Nypris,Kategori,Type,Bagagerumsstørrelse,Vægt,Bredde,Længde,Højde,Lasteevne,Max. trækvægt m/bremse,Trækhjul,ABS-bremser,ESP,Airbags,Døre,Produceret,Error
https://www.bilbasen.dk/brugt/bil/tesla/model-3/rwd-4d/6125552,Tesla,MODEL-3,Rwd,267.000 kr.,2022.0,2/2022,79.000 km,El,(WLTP) 491 km,"60,0 kWh",144 Wh/km,-,-,-,780 kr. / år,325 hk/420 nm,"6,1 sek.",225 km/t,1.000 kg,Hvid,420.810 kr.,Personbil,Sedan,542 liter,1.835 kg,185 cm,469 cm,144 cm,314 kg,1.000 kg,Baghjulstræk,Ja,Ja,6,4.0,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/amg-line-5d/6124621,Mercedes,EQA250,Amg,419.800 kr.,2023.0,3/2023,9.500 km,El,(WLTP) 492 km,"66,5 kWh",156 Wh/km,-,-,-,780 kr. / år,190 hk/385 nm,"8,6 sek.",160 km/t,750 kg,Mørkblåmetal,-,Personbil,CUV,340 liter,2.040 kg,183 cm,446 cm,162 cm,430 kg,750 kg,Forhjulstræk,Ja,Ja,7,5.0,3/2023,
https://www.bilbasen.dk/brugt/bil/mini/cooper-se/essential-3d/6137538,Mini,COOPER-SE,Essential,214.900 kr.,2023.0,8/2023,10.500 km,El,(WLTP) 231 km,"32,6 kWh",154 Wh/km,-,-,-,780 kr. / år,184 hk/270 nm,"7,3 sek.",150 km/t,-,Hvid,272.768 kr.,Personbil,Mikro,211 liter,1.340 kg,173 cm,385 cm,145 cm,435 kg,-,Forhjulstræk,Ja,Ja,6,3.0,,
https://www.bilbasen.dk/brugt/bil/fiat/500e/icon-3d/6111979,Fiat,500E,Icon,144.900 kr.,2022.0,6/2022,9.000 km,El,(WLTP) 312 km,"42,0 kWh",139 Wh/km,-,-,-,780 kr. / år,118 hk/220 nm,"9,0 sek.",150 km/t,-,Sort,250.811 kr.,Personbil,Mikro,185 liter,1.390 kg,168 cm,363 cm,153 cm,336 kg,-,Forhjulstræk,Ja,Ja,6,3.0,,
https://www.bilbasen.dk/brugt/bil/opel/corsa-e/50-ultimate-5d/6142404,Opel,CORSA-E,50,164.800 kr.,2021.0,11/2021,46.900 km,El,(WLTP) 334 km,"45,0 kWh",166 Wh/km,-,-,-,780 kr. / år,136 hk/260 nm,"8,1 sek.",150 km/t,-,Orangemetal,270.811 kr.,Personbil,Halvkombi,267 liter,1.455 kg,177 cm,406 cm,144 cm,506 kg,-,Forhjulstræk,Ja,Ja,6,5.0,,
https://www.bilbasen.dk/brugt/bil/kia/ev6/77-long-range-upgrade-5d/6096380,Kia,EV6,77 long range,399.800 kr.,2023.0,10/2023,-,El,(WLTP) 528 km,"77,0 kWh",165 Wh/km,"11,0 kW",233 kW,16 min,780 kr. / år,229 hk/350 nm,"7,5 sek.",185 km/t,1.600 kg,Gråmetal,425.620 kr.,Personbil,Halvkombi,510 liter,1.930 kg,188 cm,468 cm,155 cm,500 kg,1.600 kg,Baghjulstræk,Ja,Ja,6,5.0,,
https://www.bilbasen.dk/brugt/bil/mg/5/luxury-5d/6132844,Mg,5,Luxury,229.800 kr.,2024.0,2/2024,-,El,(WLTP) 380 km,"61,1 kWh",179 Wh/km,-,-,-,780 kr. / år,156 hk/280 nm,"8,3 sek.",185 km/t,500 kg,Sortmetal,275.620 kr.,Personbil,St.car,479 liter,1.562 kg,182 cm,460 cm,154 cm,455 kg,500 kg,Forhjulstræk,Ja,Ja,-,5.0,,
https://www.bilbasen.dk/brugt/bil/audi/q4-e-tron/45-ultra-5d/6148192,Audi,Q4-E-TRON,45,489.900 kr.,2024.0,4/2024,8.000 km,El,(WLTP) 531 km,"76,6 kWh",167 Wh/km,-,-,-,780 kr. / år,286 hk/545 nm,"6,7 sek.",180 km/t,1.000 kg,Sortmetal,482.157 kr.,Personbil,CUV,520 liter,2.145 kg,187 cm,459 cm,162 cm,495 kg,1.000 kg,Baghjulstræk,Ja,Ja,6,5.0,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqc400/amg-line-4matic-5d/6088168,Mercedes,EQC400,Amg line,569.900 kr.,2023.0,11/2022,15.000 km,El,(WLTP) 410 km,"80,0 kWh",228 Wh/km,-,-,-,780 kr. / år,408 hk/760 nm,"5,1 sek.",180 km/t,1.800 kg,Gråmetal,-,Personbil,SUV,500 liter,2.395 kg,188 cm,476 cm,162 cm,545 kg,1.800 kg,Firehjulstræk,Nej,Ja,7,5.0,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqa250/electric-art-5d/6112714,Mercedes,EQA250,Electric,349.800 kr.,2023.0,12/2022,17.000 km,El,(WLTP) 490 km,"76,0 kWh",156 Wh/km,-,-,-,780 kr. / år,190 hk/385 nm,"8,6 sek.",160 km/t,750 kg,Hvid,-,Personbil,CUV,340 liter,2.040 kg,183 cm,446 cm,162 cm,430 kg,750 kg,Forhjulstræk,Ja,Ja,7,5.0,,
https://www.bilbasen.dk/brugt/bil/cupra/born/58-emocion-5d/6137674,Cupra,BORN,58,287.171 kr.,2024.0,-/-,(ny bil),El,(WLTP) 421 km,"58,0 kWh",156 Wh/km,-,-,-,-,204 hk/310 nm,"7,3 sek.",160 km/t,-,Gråmetal,275.610 kr.,Personbil,Halvkombi,385 liter,1.736 kg,178 cm,432 cm,154 cm,534 kg,-,Baghjulstræk,Ja,Ja,-,5.0,,
https://www.bilbasen.dk/brugt/bil/porsche/taycan-4s/performance-4d/6003857,Porsche,TAYCAN-4S,Performance,899.000 kr.,2020.0,1/2020,39.000 km,El,(WLTP) 464 km,"83,7 kWh",219 Wh/km,-,-,-,920 kr. / år,490 hk/650 nm,"4,0 sek.",250 km/t,-,Sølvmetal,1.035.548 kr.,Personbil,Sedan,407 liter,2.220 kg,197 cm,496 cm,138 cm,660 kg,-,Firehjulstræk,Ja,Ja,6,4.0,,
https://www.bilbasen.dk/brugt/bil/renault/zoe/52-experience-5d/6083110,Renault,ZOE,52,144.900 kr.,2021.0,10/2021,16.000 km,El,(WLTP) 385 km,"52,0 kWh",174 Wh/km,-,-,-,780 kr. / år,108 hk/225 nm,"11,4 sek.",140 km/t,-,Blå,-,Personbil,Halvkombi,338 liter,1.502 kg,179 cm,409 cm,156 cm,486 kg,-,Forhjulstræk,Ja,Ja,4,5.0,,
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6094978,Vw,ID3,Pro,269.900 kr.,2022.0,1/2022,15.000 km,El,(WLTP) 422 km,"58,0 kWh",156 Wh/km,-,-,-,780 kr. / år,204 hk/310 nm,"7,9 sek.",160 km/t,-,Hvid,320.815 kr.,Personbil,Halvkombi,385 liter,1.794 kg,181 cm,426 cm,157 cm,466 kg,-,Baghjulstræk,Ja,Ja,7,5.0,,
https://www.bilbasen.dk/brugt/bil/fiat/500e/icon-pack-cabrio-2d/6070512,Fiat,500E,Icon pack,224.800 kr.,2023.0,1/2024,-,El,(WLTP) 301 km,"42,0 kWh",147 Wh/km,-,-,-,780 kr. / år,118 hk/220 nm,"9,0 sek.",150 km/t,-,Hvid,265.711 kr.,Personbil,Mikro,185 liter,1.430 kg,168 cm,363 cm,153 cm,296 kg,-,Forhjulstræk,Ja,Ja,6,2.0,,
https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-1st-plus-5d/6051203,Vw,ID3,Pro performance 1st,199.900 kr.,2020.0,10/2020,47.000 km,El,(WLTP) 422 km,"58,0 kWh",156 Wh/km,-,-,-,780 kr. / år,204 hk/310 nm,"7,3 sek.",160 km/t,-,Hvidmetal,-,Personbil,Halvkombi,385 liter,1.794 kg,181 cm,426 cm,157 cm,466 kg,-,Baghjulstræk,Ja,Ja,7,5.0,,
https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/progressive-5d/6125736,Mercedes,EQB250,Progressive,389.900 kr.,2023.0,2/2023,16.000 km,El,(WLTP) 503 km,"70,5 kWh",163 Wh/km,-,-,-,780 kr. / år,190 hk/385 nm,"9,2 sek.",160 km/t,-,Sortmetal,-,Personbil,SUV,495 liter,2.115 kg,183 cm,468 cm,167 cm,405 kg,-,Forhjulstræk,Nej,Ja,7,5.0,,
